Index,Species,Bin,ef
132,PM2.5,16,0.009252145
132,PM2.5,17,0.008630358
132,PM2.5,18,0.006366505
132,PM2.5,19,0.009740967
132,PM2.5,2,0.000534714
132,PM2.5,20,0.018112496
132,PM2.5,21,0.015364542
132,PM2.5,22,0.01682618
132,PM2.5,23,0.03546298
132,PM2.5,3,0.001056512
132,PM2.5,4,0.001355247
132,PM2.5,5,0.00173944
132,PM2.5,6,0.002480407
132,PM2.5,7,0.004243222
132,PM2.5,8,0.005836265
132,PM2.5,9,0.001704346
133,CO,1,0.003989328
133,CO,10,0.010319272
133,CO,11,0.011318267
133,CO,12,0.013036199
133,CO,13,0.014202289
133,CO,14,0.01799048
133,CO,15,0.023290708
133,CO,16,0.023499572
133,CO,17,0.018524468
133,CO,18,0.021519656
133,CO,19,0.020702853
133,CO,2,0.005482277
133,CO,20,0.030982993
133,CO,21,0.027581133
133,CO,22,0.03953236
133,CO,23,0.032332742
133,CO,3,0.008300022
133,CO,4,0.010671271
133,CO,5,0.011494868
133,CO,6,0.013757096
133,CO,7,0.016007102
133,CO,8,0.02234795
133,CO,9,0.007304502
133,HC,1,0.002760248
133,HC,10,0.006417126
133,HC,11,0.007226136
133,HC,12,0.008073444
133,HC,13,0.008652599
133,HC,14,0.008777616
133,HC,15,0.00881879
133,HC,16,0.009528835
133,HC,17,0.009730297
133,HC,18,0.013373108
133,HC,19,0.011854828
133,HC,2,0.002263926
133,HC,20,0.010717314
133,HC,21,0.011148853
133,HC,22,0.009210409
133,HC,23,0.01093452
133,HC,3,0.004685076
133,HC,4,0.005319363
133,HC,5,0.006020105
133,HC,6,0.007054584
133,HC,7,0.00812266
133,HC,8,0.008597478
133,HC,9,0.005021669
133,NOx,1,0.017512488
133,NOx,10,0.071991899
133,NOx,11,0.087439099
133,NOx,12,0.095444035
133,NOx,13,0.11020834
133,NOx,14,0.129735141
133,NOx,15,0.152530939
133,NOx,16,0.176865926
133,NOx,17,0.104949247
